ID,Название,Дата начала,Статус
6141,Project 6141,2023-09-13,Завершен
6142,Project 6142,2023-02-23,Завершен
6143,Project 6143,2023-01-27,В процессе
6144,Project 6144,2023-09-05,В процессе
6145,Project 6145,2023-04-08,В процессе
6146,Project 6146,2023-10-05,Завершен
6147,Project 6147,2023-05-01,В процессе
6148,Project 6148,2023-01-15,Завершен
6149,Project 6149,2023-08-04,В процессе
6150,Project 6150,2023-04-09,В процессе
6151,Project 6151,2023-08-16,В процессе
6152,Project 6152,2023-05-03,Завершен
6153,Project 6153,2023-04-05,Завершен
6154,Project 6154,2023-07-10,В процессе
6155,Project 6155,2023-03-09,В процессе
6156,Project 6156,2023-11-23,Завершен
6157,Project 6157,2023-06-03,В процессе
6158,Project 6158,2023-02-28,В процессе
6159,Project 6159,2023-08-30,Завершен
6160,Project 6160,2023-02-19,Завершен
6161,Project 6161,2023-01-05,В процессе
6162,Project 6162,2023-02-23,Завершен
6163,Project 6163,2023-01-25,Завершен
6164,Project 6164,2023-03-27,Завершен
6165,Project 6165,2023-04-05,Завершен
6166,Project 6166,2023-02-22,Завершен
6167,Project 6167,2023-10-17,В процессе
6168,Project 6168,2023-06-10,В процессе
6169,Project 6169,2023-12-21,Завершен
6170,Project 6170,2023-12-11,В процессе
6171,Project 6171,2023-04-13,В процессе
6172,Project 6172,2023-11-21,Завершен
6173,Project 6173,2023-05-16,В процессе
6174,Project 6174,2023-02-25,Завершен
6175,Project 6175,2023-10-21,В процессе
6176,Project 6176,2023-03-28,В процессе
6177,Project 6177,2023-04-20,В процессе
6178,Project 6178,2023-07-29,В процессе
6179,Project 6179,2023-11-11,Завершен
6180,Project 6180,2023-06-10,Завершен
6181,Project 6181,2023-05-17,В процессе
6182,Project 6182,2023-01-21,Завершен
6183,Project 6183,2023-02-18,Завершен
6184,Project 6184,2023-11-01,В процессе
6185,Project 6185,2023-05-09,В процессе
6186,Project 6186,2023-09-21,В процессе
6187,Project 6187,2023-03-10,В процессе
6188,Project 6188,2023-08-21,Завершен
6189,Project 6189,2023-10-25,В процессе
6190,Project 6190,2023-10-26,В процессе
6191,Project 6191,2023-11-19,В процессе
6192,Project 6192,2023-05-17,Завершен
6193,Project 6193,2023-10-02,В процессе
6194,Project 6194,2023-07-11,В процессе
6195,Project 6195,2023-08-18,В процессе
6196,Project 6196,2023-12-28,В процессе
6197,Project 6197,2023-06-09,В процессе
6198,Project 6198,2023-12-14,В процессе
6199,Project 6199,2023-06-22,В процессе
6200,Project 6200,2023-11-27,Завершен
6201,Project 6201,2023-05-07,Завершен
6202,Project 6202,2023-10-05,В процессе
6203,Project 6203,2023-07-26,В процессе
6204,Project 6204,2023-07-20,Завершен
6205,Project 6205,2023-02-14,В процессе
6206,Project 6206,2023-11-27,Завершен
6207,Project 6207,2023-04-14,В процессе
6208,Project 6208,2023-05-05,В процессе
6209,Project 6209,2023-03-13,В процессе
6210,Project 6210,2023-06-05,Завершен
6211,Project 6211,2023-05-18,В процессе
6212,Project 6212,2023-07-02,В процессе
6213,Project 6213,2023-01-16,В процессе
6214,Project 6214,2023-06-13,Завершен
6215,Project 6215,2023-11-23,Завершен
6216,Project 6216,2023-07-16,Завершен
6217,Project 6217,2023-05-03,Завершен
6218,Project 6218,2023-09-02,В процессе
6219,Project 6219,2023-10-08,Завершен
6220,Project 6220,2023-06-26,Завершен
6221,Project 6221,2023-03-29,Завершен
6222,Project 6222,2023-09-26,В процессе
6223,Project 6223,2023-07-29,В процессе
6224,Project 6224,2023-03-19,В процессе
6225,Project 6225,2023-07-14,В процессе
6226,Project 6226,2023-08-11,Завершен
6227,Project 6227,2023-01-27,В процессе
6228,Project 6228,2023-08-19,В процессе
6229,Project 6229,2023-02-14,Завершен
6230,Project 6230,2023-04-11,Завершен
6231,Project 6231,2023-01-03,Завершен
6232,Project 6232,2023-06-26,В процессе
6233,Project 6233,2023-05-25,В процессе
6234,Project 6234,2023-08-12,Завершен
6235,Project 6235,2023-06-26,В процессе
6236,Project 6236,2023-12-09,Завершен
6237,Project 6237,2023-07-30,Завершен
6238,Project 6238,2023-01-06,Завершен
6239,Project 6239,2023-12-06,Завершен
6240,Project 6240,2023-08-11,Завершен
6241,Project 6241,2023-02-08,Завершен
6242,Project 6242,2023-07-06,Завершен
6243,Project 6243,2023-01-27,Завершен
6244,Project 6244,2023-01-26,Завершен
6245,Project 6245,2023-03-30,В процессе
6246,Project 6246,2023-09-03,Завершен
6247,Project 6247,2023-05-24,В процессе
6248,Project 6248,2023-02-28,В процессе
6249,Project 6249,2023-03-15,В процессе
6250,Project 6250,2023-11-13,Завершен
6251,Project 6251,2023-08-02,В процессе
6252,Project 6252,2023-05-10,Завершен
6253,Project 6253,2023-09-12,В процессе
6254,Project 6254,2023-04-08,Завершен
6255,Project 6255,2023-03-02,В процессе
6256,Project 6256,2023-04-15,В процессе
6257,Project 6257,2023-08-16,Завершен
6258,Project 6258,2023-08-04,Завершен
6259,Project 6259,2023-10-03,Завершен
6260,Project 6260,2023-10-25,В процессе
6261,Project 6261,2023-04-09,В процессе
6262,Project 6262,2023-10-30,В процессе
6263,Project 6263,2023-03-02,Завершен
6264,Project 6264,2023-08-08,В процессе
6265,Project 6265,2023-12-02,Завершен
6266,Project 6266,2023-06-24,Завершен
6267,Project 6267,2023-01-18,Завершен
6268,Project 6268,2023-03-05,В процессе
6269,Project 6269,2023-02-23,Завершен
6270,Project 6270,2023-07-09,Завершен
6271,Project 6271,2023-05-16,Завершен
6272,Project 6272,2023-05-15,Завершен
6273,Project 6273,2023-07-24,Завершен
6274,Project 6274,2023-07-11,Завершен
6275,Project 6275,2023-06-01,Завершен
6276,Project 6276,2023-01-31,Завершен
6277,Project 6277,2023-10-29,Завершен
6278,Project 6278,2023-10-14,В процессе
6279,Project 6279,2023-06-09,Завершен
6280,Project 6280,2023-05-21,Завершен
6281,Project 6281,2023-09-04,Завершен
6282,Project 6282,2023-10-25,Завершен
6283,Project 6283,2023-10-24,Завершен
6284,Project 6284,2023-10-14,Завершен
6285,Project 6285,2023-12-06,В процессе
6286,Project 6286,2023-09-18,В процессе
6287,Project 6287,2023-10-30,В процессе
6288,Project 6288,2023-10-02,В процессе
6289,Project 6289,2023-05-14,В процессе
6290,Project 6290,2023-11-11,В процессе
6291,Project 6291,2023-12-10,Завершен
6292,Project 6292,2023-11-01,В процессе
6293,Project 6293,2023-07-26,В процессе
6294,Project 6294,2023-07-30,Завершен
6295,Project 6295,2023-11-29,В процессе
6296,Project 6296,2023-11-11,В процессе
6297,Project 6297,2023-06-28,Завершен
6298,Project 6298,2023-01-23,Завершен
6299,Project 6299,2023-04-07,Завершен
6300,Project 6300,2023-04-01,Завершен
6301,Project 6301,2023-10-25,В процессе
6302,Project 6302,2023-07-14,В процессе
6303,Project 6303,2023-08-25,Завершен
6304,Project 6304,2023-08-01,Завершен
6305,Project 6305,2023-02-21,В процессе
6306,Project 6306,2023-01-02,В процессе
6307,Project 6307,2023-12-21,В процессе
6308,Project 6308,2023-08-27,В процессе
6309,Project 6309,2023-06-20,В процессе
6310,Project 6310,2023-05-15,В процессе
6311,Project 6311,2023-04-29,Завершен
6312,Project 6312,2023-09-06,Завершен
6313,Project 6313,2023-09-28,В процессе
6314,Project 6314,2023-07-24,В процессе
6315,Project 6315,2023-08-12,В процессе
6316,Project 6316,2023-12-06,В процессе
6317,Project 6317,2023-01-28,В процессе
6318,Project 6318,2023-10-03,Завершен
6319,Project 6319,2023-07-28,В процессе
6320,Project 6320,2023-02-15,Завершен
6321,Project 6321,2023-05-07,Завершен
6322,Project 6322,2023-03-23,Завершен
6323,Project 6323,2023-07-28,Завершен
6324,Project 6324,2023-01-04,В процессе
6325,Project 6325,2023-10-24,Завершен
6326,Project 6326,2023-10-29,В процессе
6327,Project 6327,2023-05-05,Завершен
6328,Project 6328,2023-06-21,Завершен
6329,Project 6329,2023-03-15,В процессе
6330,Project 6330,2023-11-02,Завершен
6331,Project 6331,2023-01-06,В процессе
6332,Project 6332,2023-09-28,Завершен
6333,Project 6333,2023-02-26,Завершен
6334,Project 6334,2023-05-08,В процессе
6335,Project 6335,2023-05-25,В процессе
6336,Project 6336,2023-05-11,В процессе
6337,Project 6337,2023-08-04,Завершен
6338,Project 6338,2023-04-27,В процессе
6339,Project 6339,2023-10-01,Завершен
6340,Project 6340,2023-11-21,В процессе
6341,Project 6341,2023-10-26,Завершен
6342,Project 6342,2023-07-11,Завершен
6343,Project 6343,2023-08-18,Завершен
6344,Project 6344,2023-08-02,Завершен
6345,Project 6345,2023-06-17,Завершен
6346,Project 6346,2023-10-27,В процессе
6347,Project 6347,2023-04-23,Завершен
6348,Project 6348,2023-09-17,Завершен
6349,Project 6349,2023-07-04,В процессе
6350,Project 6350,2023-12-05,Завершен
6351,Project 6351,2023-09-03,В процессе
6352,Project 6352,2023-06-08,Завершен
6353,Project 6353,2023-09-22,В процессе
6354,Project 6354,2023-01-10,В процессе
6355,Project 6355,2023-06-09,Завершен
6356,Project 6356,2023-06-03,В процессе
6357,Project 6357,2023-09-25,Завершен
6358,Project 6358,2023-05-05,В процессе
6359,Project 6359,2023-11-27,В процессе
6360,Project 6360,2023-01-05,Завершен
6361,Project 6361,2023-01-11,Завершен
6362,Project 6362,2023-09-17,Завершен
6363,Project 6363,2023-07-06,Завершен
6364,Project 6364,2023-02-24,В процессе
6365,Project 6365,2023-08-13,Завершен
6366,Project 6366,2023-04-09,В процессе
6367,Project 6367,2023-08-02,Завершен
6368,Project 6368,2023-09-29,Завершен
6369,Project 6369,2023-08-13,В процессе
6370,Project 6370,2023-10-29,Завершен
6371,Project 6371,2023-04-23,Завершен
6372,Project 6372,2023-04-01,В процессе
6373,Project 6373,2023-08-22,Завершен
6374,Project 6374,2023-05-07,Завершен
6375,Project 6375,2023-07-01,В процессе
6376,Project 6376,2023-01-15,Завершен
6377,Project 6377,2023-03-27,В процессе
6378,Project 6378,2023-11-11,В процессе
6379,Project 6379,2023-12-05,Завершен
6380,Project 6380,2023-03-26,В процессе
6381,Project 6381,2023-04-03,В процессе
6382,Project 6382,2023-08-13,Завершен
6383,Project 6383,2023-07-26,Завершен
6384,Project 6384,2023-06-06,Завершен
6385,Project 6385,2023-09-28,В процессе
6386,Project 6386,2023-05-25,В процессе
6387,Project 6387,2023-11-06,Завершен
6388,Project 6388,2023-10-09,В процессе
6389,Project 6389,2023-01-09,В процессе
6390,Project 6390,2023-09-08,В процессе
6391,Project 6391,2023-05-05,Завершен
6392,Project 6392,2023-02-16,Завершен
6393,Project 6393,2023-02-02,В процессе
6394,Project 6394,2023-12-12,В процессе
6395,Project 6395,2023-08-04,В процессе
6396,Project 6396,2023-09-18,В процессе
6397,Project 6397,2023-05-17,Завершен
6398,Project 6398,2023-02-07,Завершен
6399,Project 6399,2023-02-28,Завершен
6400,Project 6400,2023-02-25,Завершен
6401,Project 6401,2023-04-24,В процессе
6402,Project 6402,2023-02-18,В процессе
6403,Project 6403,2023-02-23,В процессе
6404,Project 6404,2023-04-08,Завершен
6405,Project 6405,2023-03-11,В процессе
6406,Project 6406,2023-08-29,В процессе
6407,Project 6407,2023-03-13,Завершен
6408,Project 6408,2023-10-16,Завершен
6409,Project 6409,2023-10-01,В процессе
6410,Project 6410,2023-05-01,В процессе
6411,Project 6411,2023-01-14,В процессе
6412,Project 6412,2023-04-10,В процессе
6413,Project 6413,2023-04-11,Завершен
6414,Project 6414,2023-03-16,Завершен
6415,Project 6415,2023-05-31,Завершен
6416,Project 6416,2023-02-25,Завершен
6417,Project 6417,2023-03-11,В процессе
6418,Project 6418,2023-01-27,В процессе
6419,Project 6419,2023-09-05,В процессе
6420,Project 6420,2023-07-03,В процессе
6421,Project 6421,2023-10-28,В процессе
6422,Project 6422,2023-03-18,Завершен
6423,Project 6423,2023-07-04,Завершен
